Fecha,RegionHidrologica,NombreEmbalse,VertimientosVolumenMilesM,VertimientosEnergiaKwh
2004-01-02,CENTRO,AGREGADO BOGOTA,11.4,57305.26666
2004-01-03,CENTRO,AGREGADO BOGOTA,14.26,71681.85111
2004-01-04,CENTRO,AGREGADO BOGOTA,14.86,74697.91777
2004-01-05,CENTRO,AGREGADO BOGOTA,14.34,72083.99333
2004-01-06,CENTRO,AGREGADO BOGOTA,15.29,76859.43222
2004-01-07,CENTRO,AGREGADO BOGOTA,11.23,56450.71444
2004-01-08,CENTRO,AGREGADO BOGOTA,7.52,37801.36888
2004-01-09,CENTRO,AGREGADO BOGOTA,5.44,27345.67111
2004-01-10,CENTRO,AGREGADO BOGOTA,4.75,23877.19444
2004-01-13,CENTRO,AGREGADO BOGOTA,4.75,23877.19444
2004-01-14,CENTRO,AGREGADO BOGOTA,5.36,26943.52888
2004-01-17,CENTRO,AGREGADO BOGOTA,9.07,45592.87444
2004-01-18,CENTRO,AGREGADO BOGOTA,14.43,72536.40333
2004-01-19,CENTRO,AGREGADO BOGOTA,5.27,26491.11888
2004-01-20,CENTRO,AGREGADO BOGOTA,13.91,69922.47888
2004-01-21,CENTRO,AGREGADO BOGOTA,14.52,72988.81333
2004-01-22,ANTIOQUIA,PLAYAS,116.467,55441.52719
2004-01-22,CENTRO,AGREGADO BOGOTA,12.27,61678.56333
2004-01-23,ANTIOQUIA,PLAYAS,831.168,395659.056
2004-01-23,CENTRO,AGREGADO BOGOTA,12.61,63387.66777
2004-01-24,ANTIOQUIA,PLAYAS,258.804,123197.893
2004-01-24,CENTRO,AGREGADO BOGOTA,12.61,63387.66777
2004-01-25,CENTRO,AGREGADO BOGOTA,12.79,64292.48777
2004-01-26,CENTRO,AGREGADO BOGOTA,13.05,65599.45
2004-01-27,CENTRO,AGREGADO BOGOTA,12.36,62130.97333
2004-01-28,CENTRO,AGREGADO BOGOTA,12.36,62130.97333
2004-01-29,CENTRO,AGREGADO BOGOTA,5.7,28652.63333
2004-01-30,CENTRO,AGREGADO BOGOTA,13.48,67760.96444
2004-01-31,CENTRO,AGREGADO BOGOTA,13.05,65599.45
2004-02-01,CENTRO,AGREGADO BOGOTA,12.79,64292.48777
2004-02-02,CENTRO,AGREGADO BOGOTA,11.84,59517.04888
2004-02-03,CENTRO,AGREGADO BOGOTA,10.89,54741.61
2004-02-04,CENTRO,AGREGADO BOGOTA,9.76,49061.35111
2004-02-05,CENTRO,AGREGADO BOGOTA,10.28,51675.27555
2004-02-06,CENTRO,AGREGADO BOGOTA,10.28,51675.27555
2004-02-07,CENTRO,AGREGADO BOGOTA,10.28,51675.27555
2004-02-08,CENTRO,AGREGADO BOGOTA,10.11,50820.72333
2004-02-09,CENTRO,AGREGADO BOGOTA,10.71,53836.79
2004-02-10,CENTRO,AGREGADO BOGOTA,9.94,49966.17111
2004-02-11,CENTRO,AGREGADO BOGOTA,10.28,51675.27555
2004-02-12,CENTRO,AGREGADO BOGOTA,9.76,49061.35111
2004-02-13,CENTRO,AGREGADO BOGOTA,10.02,50368.31333
2004-02-14,CENTRO,AGREGADO BOGOTA,10.37,52127.68555
2004-02-15,CENTRO,AGREGADO BOGOTA,10.63,53434.64777
2004-02-16,CENTRO,AGREGADO BOGOTA,11.49,57757.67666
2004-02-17,CENTRO,AGREGADO BOGOTA,10.02,50368.31333
2004-02-18,CENTRO,AGREGADO BOGOTA,4.58,23022.64222
