UID,edad,sexo,neducativo,salario,sector
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655976-1-2,3.0,0.0,3.0,1160000.0,3.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
7655977-1-1,4.0,1.0,2.0,1600000.0,6.0
